state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alabama,2021-01-11,42,2,208,NA,5392,5352,5558,NA,NA
Alabama,2021-01-12,45,2,233,NA,5448,5368,5694,NA,NA
Alabama,2021-01-13,42,2,222,NA,5500,5393,5819,NA,NA
Alabama,2021-01-14,42,2,219,NA,5559,5413,5948,NA,NA
Alabama,2021-01-15,39,1,260,NA,5610,5439,6089,NA,NA
Alabama,2021-01-16,40,2,214,NA,5665,5470,6172,NA,NA
Alabama,2021-01-17,43,2,242,NA,5725,5498,6350,NA,NA
Alabama,2021-01-18,42,3,226,NA,5779,5534,6427,NA,NA
Alabama,2021-01-19,43,2,246,NA,5828,5557,6561,NA,NA
Alabama,2021-01-20,43,2,244,NA,5893,5588,6672,NA,NA
Alabama,2021-01-21,46,2,257,NA,5957,5624,6808,NA,NA
Alabama,2021-01-22,43,2,273,NA,6014,5649,6948,NA,NA
Alabama,2021-01-23,45,3,241,NA,6074,5683,7080,NA,NA
Alabama,2021-01-24,47,2,262,NA,6136,5705,7259,NA,NA
Alabama,2021-01-25,47,3,265,NA,6200,5736,7446,NA,NA
Alabama,2021-01-26,48,4,283,NA,6266,5775,7592,NA,NA
Alabama,2021-01-27,50,3,321,NA,6344,5792,7703,NA,NA
Alabama,2021-01-28,48,3,269,NA,6406,5820,7878,NA,NA
Alabama,2021-01-29,47,3,279,NA,6462,5836,8055,NA,NA
Alabama,2021-01-30,48,4,283,NA,6525,5859,8217,NA,NA
Alabama,2021-01-31,49,2,319,NA,6594,5885,8409,NA,NA
Alabama,2021-02-01,51,2,321,NA,6657,5901,8609,NA,NA
Alabama,2021-02-02,50,2,348,NA,6736,5925,8778,NA,NA
Alabama,2021-02-03,48,2,302,NA,6808,5941,8952,NA,NA
Alabama,2021-02-04,50,2,323,NA,6870,5995,9183,NA,NA
Alabama,2021-02-05,50,3,309,NA,6944,6021,9456,NA,NA
Alabama,2021-02-06,52,2,322,NA,7001,6040,9622,NA,NA
Alabama,2021-02-07,51,4,326,NA,7084,6060,9789,NA,NA
Alabama,2021-02-08,50,3,325,NA,7158,6090,9974,NA,NA
Alaska,2021-01-11,1,0,8,NA,225,224,232,NA,NA
Alaska,2021-01-12,1,0,10,NA,226,224,237,NA,NA
Alaska,2021-01-13,1,0,9,NA,228,224,241,NA,NA
Alaska,2021-01-14,1,0,8,NA,230,224,245,NA,NA
Alaska,2021-01-15,1,0,10,NA,231,225,248,NA,NA
Alaska,2021-01-16,1,0,9,NA,233,225,253,NA,NA
Alaska,2021-01-17,1,0,8,NA,235,225,257,NA,NA
Alaska,2021-01-18,1,0,9,NA,236,226,261,NA,NA
Alaska,2021-01-19,1,0,8,NA,238,226,265,NA,NA
Alaska,2021-01-20,1,0,8,NA,239,227,268,NA,NA
Alaska,2021-01-21,1,0,9,NA,241,227,272,NA,NA
Alaska,2021-01-22,1,0,9,NA,242,228,279,NA,NA
Alaska,2021-01-23,1,0,9,NA,244,228,283,NA,NA
Alaska,2021-01-24,1,0,8,NA,246,229,286,NA,NA
Alaska,2021-01-25,1,0,9,NA,247,230,294,NA,NA
Alaska,2021-01-26,1,0,9,NA,249,230,300,NA,NA
Alaska,2021-01-27,1,0,10,NA,250,230,303,NA,NA
Alaska,2021-01-28,1,0,9,NA,251,231,308,NA,NA
Alaska,2021-01-29,1,0,8,NA,253,231,310,NA,NA
Alaska,2021-01-30,1,0,9,NA,255,231,315,NA,NA
Alaska,2021-01-31,1,0,10,NA,256,232,320,NA,NA
