state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alabama,2020-11-30,14,1,70,NA,3607,3594,3663,NA,NA
Alabama,2020-12-01,13,1,70,NA,3625,3599,3704,NA,NA
Alabama,2020-12-02,14,0,75,NA,3644,3605,3744,NA,NA
Alabama,2020-12-03,13,0,72,NA,3661,3614,3780,NA,NA
Alabama,2020-12-04,13,0,62,NA,3679,3622,3816,NA,NA
Alabama,2020-12-05,13,0,72,NA,3694,3629,3848,NA,NA
Alabama,2020-12-06,13,0,81,NA,3712,3636,3890,NA,NA
Alabama,2020-12-07,12,0,73,NA,3729,3646,3949,NA,NA
Alabama,2020-12-08,12,0,69,NA,3744,3653,3998,NA,NA
Alabama,2020-12-09,11,0,76,NA,3760,3660,4029,NA,NA
Alabama,2020-12-10,13,0,71,NA,3776,3669,4062,NA,NA
Alabama,2020-12-11,12,0,65,NA,3791,3676,4113,NA,NA
Alabama,2020-12-12,12,0,77,NA,3808,3684,4140,NA,NA
Alabama,2020-12-13,12,0,66,NA,3819,3690,4176,NA,NA
Alabama,2020-12-14,11,0,75,NA,3835,3695,4227,NA,NA
Alabama,2020-12-15,12,0,73,NA,3850,3699,4292,NA,NA
Alabama,2020-12-16,11,0,77,NA,3863,3704,4354,NA,NA
Alabama,2020-12-17,11,0,81,NA,3882,3709,4379,NA,NA
Alabama,2020-12-18,11,0,73,NA,3894,3717,4438,NA,NA
Alabama,2020-12-19,11,0,72,NA,3908,3720,4479,NA,NA
Alabama,2020-12-20,10,0,75,NA,3924,3725,4551,NA,NA
Alabama,2020-12-21,10,0,78,NA,3936,3732,4611,NA,NA
Alabama,2020-12-22,10,0,77,NA,3950,3737,4654,NA,NA
Alabama,2020-12-23,10,0,71,NA,3963,3740,4674,NA,NA
Alabama,2020-12-24,10,0,83,NA,3976,3749,4760,NA,NA
Alabama,2020-12-25,9,0,73,NA,3990,3753,4824,NA,NA
Alabama,2020-12-26,10,0,83,NA,4002,3759,4865,NA,NA
Alabama,2020-12-27,9,0,83,NA,4020,3761,4894,NA,NA
Alabama,2020-12-28,9,0,80,NA,4030,3766,4974,NA,NA
Alaska,2020-11-30,0,0,5,NA,121,121,126,NA,NA
Alaska,2020-12-01,0,0,5,NA,122,121,128,NA,NA
Alaska,2020-12-02,0,0,5,NA,123,121,130,NA,NA
Alaska,2020-12-03,0,0,4,NA,123,121,132,NA,NA
Alaska,2020-12-04,0,0,4,NA,124,121,133,NA,NA
Alaska,2020-12-05,0,0,4,NA,124,121,135,NA,NA
Alaska,2020-12-06,0,0,4,NA,125,121,135,NA,NA
Alaska,2020-12-07,0,0,4,NA,125,121,137,NA,NA
Alaska,2020-12-08,0,0,4,NA,126,121,138,NA,NA
Alaska,2020-12-09,0,0,4,NA,126,121,139,NA,NA
Alaska,2020-12-10,0,0,4,NA,127,121,140,NA,NA
Alaska,2020-12-11,0,0,3,NA,127,121,140,NA,NA
Alaska,2020-12-12,0,0,3,NA,128,121,141,NA,NA
Alaska,2020-12-13,0,0,3,NA,128,121,142,NA,NA
Alaska,2020-12-14,0,0,3,NA,129,121,143,NA,NA
Alaska,2020-12-15,0,0,3,NA,129,122,143,NA,NA
Alaska,2020-12-16,0,0,3,NA,129,122,144,NA,NA
Alaska,2020-12-17,0,0,3,NA,130,122,145,NA,NA
Alaska,2020-12-18,0,0,3,NA,130,122,146,NA,NA
Alaska,2020-12-19,0,0,3,NA,130,122,147,NA,NA
Alaska,2020-12-20,0,0,2,NA,130,122,147,NA,NA
Alaska,2020-12-21,0,0,3,NA,131,123,147,NA,NA
Alaska,2020-12-22,0,0,3,NA,131,123,148,NA,NA
Alaska,2020-12-23,0,0,3,NA,131,123,148,NA,NA
Alaska,2020-12-24,0,0,2,NA,131,123,149,NA,NA
Alaska,2020-12-25,0,0,2,NA,131,123,149,NA,NA
Alaska,2020-12-26,0,0,3,NA,132,123,149,NA,NA
Alaska,2020-12-27,0,0,2,NA,132,123,150,NA,NA
Alaska,2020-12-28,0,0,2,NA,132,123,150,NA,NA
Arizona,2020-11-30,21,3,73,NA,6662,6644,6714,NA,NA
Arizona,2020-12-01,22,3,75,NA,6689,6655,6763,NA,NA
Arizona,2020-12-02,20,3,71,NA,6713,6668,6805,NA,NA
Arizona,2020-12-03,22,2,74,NA,6737,6682,6850,NA,NA
Arizona,2020-12-04,21,2,76,NA,6761,6695,6895,NA,NA
Arizona,2020-12-05,22,3,77,NA,6785,6709,6940,NA,NA
Arizona,2020-12-06,22,2,78,NA,6810,6723,6981,NA,NA
Arizona,2020-12-07,21,2,79,NA,6835,6738,7019,NA,NA
Arizona,2020-12-08,21,3,79,NA,6862,6755,7068,NA,NA
Arizona,2020-12-09,20,3,78,NA,6885,6765,7116,NA,NA
Arizona,2020-12-10,21,3,89,NA,6912,6775,7164,NA,NA
Arizona,2020-12-11,20,2,84,NA,6934,6790,7226,NA,NA
Arizona,2020-12-12,22,2,85,NA,6960,6805,7281,NA,NA
Arizona,2020-12-13,21,2,74,NA,6984,6819,7320,NA,NA
Arizona,2020-12-14,21,2,81,NA,7008,6830,7363,NA,NA
Arizona,2020-12-15,21,2,84,NA,7028,6841,7415,NA,NA
Arizona,2020-12-16,20,2,87,NA,7052,6858,7484,NA,NA
Arizona,2020-12-17,21,2,92,NA,7079,6873,7570,NA,NA
Arizona,2020-12-18,20,2,90,NA,7102,6884,7614,NA,NA
Arizona,2020-12-19,19,2,85,NA,7125,6893,7693,NA,NA
Arizona,2020-12-20,20,2,90,NA,7146,6901,7732,NA,NA
Arizona,2020-12-21,20,2,88,NA,7168,6911,7796,NA,NA
Arizona,2020-12-22,19,2,93,NA,7192,6924,7848,NA,NA
Arizona,2020-12-23,19,2,113,NA,7214,6932,7921,NA,NA
Arizona,2020-12-24,18,2,91,NA,7237,6939,8024,NA,NA
Arizona,2020-12-25,18,2,108,NA,7259,6950,8056,NA,NA
Arizona,2020-12-26,18,2,89,NA,7283,6954,8139,NA,NA
Arizona,2020-12-27,19,2,97,NA,7305,6958,8211,NA,NA
Arizona,2020-12-28,17,2,101,NA,7323,6973,8325,NA,NA
Arkansas,2020-11-30,13,2,39,NA,2484,2473,2510,NA,NA
Arkansas,2020-12-01,13,2,41,NA,2499,2480,2535,NA,NA
Arkansas,2020-12-02,13,2,37,NA,2514,2488,2561,NA,NA
Arkansas,2020-12-03,13,2,38,NA,2527,2495,2585,NA,NA
Arkansas,2020-12-04,12,2,38,NA,2542,2504,2605,NA,NA
Arkansas,2020-12-05,12,2,37,NA,2554,2512,2631,NA,NA
Arkansas,2020-12-06,11,2,36,NA,2567,2520,2651,NA,NA
Arkansas,2020-12-07,11,2,34,NA,2580,2528,2667,NA,NA
Arkansas,2020-12-08,11,1,33,NA,2591,2536,2685,NA,NA
Arkansas,2020-12-09,11,2,35,NA,2603,2543,2711,NA,NA
Arkansas,2020-12-10,10,1,29,NA,2614,2548,2732,NA,NA
Arkansas,2020-12-11,10,1,32,NA,2626,2555,2752,NA,NA
Arkansas,2020-12-12,10,1,32,NA,2638,2561,2771,NA,NA
