state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alabama,2020-10-18,9,0,43,NA,2813,2804,2847,NA,NA
Alabama,2020-10-19,9,0,50,NA,2825,2807,2880,NA,NA
Alabama,2020-10-20,9,0,45,NA,2837,2812,2908,NA,NA
Alabama,2020-10-21,10,0,50,NA,2850,2817,2936,NA,NA
Alabama,2020-10-22,9,0,53,NA,2862,2822,2960,NA,NA
Alabama,2020-10-23,10,0,50,NA,2875,2828,2991,NA,NA
Alabama,2020-10-24,9,0,54,NA,2887,2831,3023,NA,NA
Alabama,2020-10-25,9,0,52,NA,2898,2837,3048,NA,NA
Alabama,2020-10-26,9,0,54,NA,2910,2841,3081,NA,NA
Alabama,2020-10-27,9,0,52,NA,2922,2846,3109,NA,NA
Alabama,2020-10-28,9,0,56,NA,2935,2851,3147,NA,NA
Alabama,2020-10-29,9,0,54,NA,2948,2855,3185,NA,NA
Alabama,2020-10-30,9,0,49,NA,2960,2859,3201,NA,NA
Alabama,2020-10-31,9,0,52,NA,2973,2867,3240,NA,NA
Alabama,2020-11-01,9,0,57,NA,2982,2869,3262,NA,NA
Alabama,2020-11-02,9,0,54,NA,2994,2873,3290,NA,NA
Alabama,2020-11-03,10,0,60,NA,3006,2878,3326,NA,NA
Alabama,2020-11-04,8,0,56,NA,3018,2881,3349,NA,NA
Alabama,2020-11-05,9,0,59,NA,3030,2883,3397,NA,NA
Alabama,2020-11-06,8,0,61,NA,3042,2887,3451,NA,NA
Alabama,2020-11-07,8,0,56,NA,3053,2889,3475,NA,NA
Alabama,2020-11-08,9,0,60,NA,3067,2890,3504,NA,NA
Alabama,2020-11-09,8,0,64,NA,3075,2896,3547,NA,NA
Alabama,2020-11-10,8,0,56,NA,3089,2898,3584,NA,NA
Alabama,2020-11-11,9,0,69,NA,3100,2902,3633,NA,NA
Alabama,2020-11-12,7,0,59,NA,3108,2905,3692,NA,NA
Alabama,2020-11-13,8,0,69,NA,3119,2907,3736,NA,NA
Alabama,2020-11-14,8,0,60,NA,3128,2911,3765,NA,NA
Alabama,2020-11-15,7,0,56,NA,3138,2914,3826,NA,NA
Alaska,2020-10-18,0,0,5,NA,67,67,72,NA,NA
Alaska,2020-10-19,0,0,5,NA,68,67,74,NA,NA
