date,state,daily_deaths_actual,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper
2020-03-13,Alabama,0,0,0,0,0,0,0,0
2020-03-14,Alabama,0,0,0,0,0,0,0,0
2020-03-15,Alabama,0,0,0,0,0,0,0,0
2020-03-16,Alabama,0,0,0,0,0,0,0,0
2020-03-17,Alabama,0,0,0,0,0,0,0,0
2020-03-18,Alabama,0,0,0,0,0,0,0,0
2020-03-19,Alabama,0,0,0,0,0,0,0,0
2020-03-20,Alabama,0,0,0,0,0,0,0,0
2020-03-21,Alabama,0,0,0,0,0,0,0,0
2020-03-22,Alabama,0,0,0,0,0,0,0,0
2020-03-23,Alabama,0,0,0,0,0,0,0,0
2020-03-24,Alabama,0,0,0,0,0,0,0,0
2020-03-25,Alabama,1,1,1,1,1,1,1,1
2020-03-26,Alabama,2,2,2,2,3,3,3,3
2020-03-27,Alabama,1,1,1,1,4,4,4,4
2020-03-28,Alabama,0,0,0,0,4,4,4,4
2020-03-29,Alabama,1,1,1,1,5,5,5,5
2020-03-30,Alabama,6,6,6,6,11,11,11,11
2020-03-31,Alabama,2,2,2,2,13,13,13,13
2020-04-01,Alabama,15,15,15,15,28,28,28,28
2020-04-02,Alabama,4,4,4,4,32,32,32,32
2020-04-03,Alabama,6,6,6,6,38,38,38,38
2020-04-04,Alabama,6,6,6,6,44,44,44,44
2020-04-05,Alabama,1,1,1,1,45,45,45,45
2020-04-06,Alabama,8,8,8,8,53,53,53,53
2020-04-07,Alabama,11,11,11,11,64,64,64,64
2020-04-08,Alabama,3,3,3,3,67,67,67,67
2020-04-09,Alabama,11,11,11,11,78,78,78,78
2020-04-10,Alabama,2,2,2,2,80,80,80,80
2020-04-11,Alabama,13,13,13,13,93,93,93,93
2020-04-12,Alabama,0,0,0,0,93,93,93,93
2020-04-13,Alabama,11,11,11,11,104,104,104,104
2020-04-14,Alabama,10,10,10,10,114,114,114,114
2020-04-15,Alabama,9,9,9,9,123,123,123,123
2020-04-16,Alabama,14,14,14,14,137,137,137,137
2020-04-17,Alabama,14,14,14,14,151,151,151,151
2020-04-18,Alabama,-4,-4,-4,-4,147,147,147,147
2020-04-19,Alabama,13,13,13,13,160,160,160,160
2020-04-20,Alabama,4,4,4,4,164,164,164,164
2020-04-21,Alabama,22,22,22,22,186,186,186,186
2020-04-22,Alabama,15,15,15,15,201,201,201,201
2020-04-23,Alabama,-4,-4,-4,-4,197,197,197,197
2020-04-24,Alabama,12,12,12,12,209,209,209,209
2020-04-25,Alabama,4,4,4,4,213,213,213,213
2020-04-26,Alabama,6,6,6,6,219,219,219,219
2020-04-27,Alabama,9,9,9,9,228,228,228,228
2020-04-28,Alabama,14,14,14,14,242,242,242,242
2020-04-29,Alabama,20,20,20,20,262,262,262,262
2020-04-30,Alabama,10,10,10,10,272,272,272,272
2020-05-01,Alabama,17,17,17,17,289,289,289,289
2020-05-02,Alabama,-1,-1,-1,-1,288,288,288,288
2020-05-03,Alabama,2,2,2,2,290,290,290,290
2020-05-04,Alabama,8,8,8,8,298,298,298,298
2020-05-05,Alabama,17,17,17,17,315,315,315,315
2020-05-06,Alabama,28,28,28,28,343,343,343,343
2020-05-07,Alabama,26,26,26,26,369,369,369,369
2020-05-08,Alabama,14,14,14,14,383,383,383,383
2020-05-09,Alabama,7,7,7,7,390,390,390,390
2020-05-10,Alabama,3,3,3,3,393,393,393,393
2020-05-11,Alabama,10,10,10,10,403,403,403,403
2020-05-12,Alabama,32,32,32,32,435,435,435,435
2020-05-13,Alabama,15,15,15,15,450,450,450,450
2020-05-14,Alabama,23,23,23,23,473,473,473,473
2020-05-15,Alabama,10,10,10,10,483,483,483,483
2020-05-16,Alabama,2,2,2,2,485,485,485,485
2020-05-17,Alabama,3,3,3,3,488,488,488,488
2020-05-18,Alabama,1,1,1,1,489,489,489,489
2020-05-19,Alabama,15,15,15,15,504,504,504,504
2020-05-20,Alabama,18,18,18,18,522,522,522,522
2020-05-21,Alabama,7,7,7,7,529,529,529,529
2020-05-22,Alabama,12,12,12,12,541,541,541,541
2020-05-23,Alabama,8,8,8,8,549,549,549,549
2020-05-24,Alabama,2,2,2,2,551,551,551,551
2020-05-25,Alabama,15,15,15,15,566,566,566,566
2020-05-26,Alabama,14,14,14,14,580,580,580,580
2020-05-27,Alabama,3,3,3,3,583,583,583,583
2020-05-28,Alabama,8,8,8,8,591,591,591,591
2020-05-29,Alabama,19,19,19,19,610,610,610,610
2020-05-30,Alabama,8,8,8,8,618,618,618,618
2020-05-31,Alabama,12,12,12,12,630,630,630,630
2020-06-02,Alabama,NA,9.865764281412417,2.201353577881374,27.72476067341796,NA,650.6644107035311,638.0671178592938,676.1139320503669
2020-06-03,Alabama,NA,10.46305712564967,2.2684714371751653,27.536661470160176,NA,662.32543746235865,644.5972928442372,692.4562892362428
2020-06-04,Alabama,NA,10,2.255217062551579,27.793556479194077,NA,673.9193463618924,651.3288214070622,708.4292159050099
2020-06-05,Alabama,NA,9.932882140706209,2.201353577881374,29.04681419107318,NA,685.3152856282484,658.4562892362428,726.3304993535444
2020-06-06,Alabama,NA,9.932882140706209,1.6711785929379137,28.852228502598678,NA,696.1139320503669,665.7179927840111,742.7549067198199
2020-06-07,Alabama,NA,10.395939266355876,2.199675631399029,28.791878532711753,NA,708.0400463016663,673.1742820202539,759.9480958660022
2020-06-08,Alabama,NA,10.46305712564967,2.201353577881374,29.254935658361426,NA,719.0400463016663,681.5501990225794,777.6192744589403
2020-06-09,Alabama,NA,10.724760673417963,2.0671178592937913,30.717992784011095,NA,730.6976891157905,688.8838289683757,795.2331775707655
2020-06-10,Alabama,NA,10.06034996988692,2,29.80513290733534,NA,742.7512711962705,697.1319967373303,814.5789467530838
2020-06-11,Alabama,NA,10.124083884477276,2.3959392663558776,31.503103427315978,NA,753.5431497289823,705.3669101316613,833.4382245492794
2020-06-12,Alabama,NA,10.120699939773841,1.7986464221186258,29.04172424814863,NA,764.9926710758182,711.5679823053524,851.916213996035
2020-06-13,Alabama,NA,10.117315995070406,1.7986464221186258,31.29665990651005,NA,776.7038959704225,720.257506989444,869.9802573665543
2020-06-14,Alabama,NA,10.113932050366971,2.127467829180712,31.221096211327065,NA,788.3480030057328,727.8494284865666,886.2704290142422
2020-06-15,Alabama,NA,10.308517738841473,2.0603499698869205,29.75127119627053,NA,799.5222850259868,735.1596241718903,905.6999280970476
2020-06-16,Alabama,NA,9.972928442372517,1.9261142512993379,29.543149728982286,NA,810.7569170161275,742.7298454585,925.7648052014788
2020-06-17,Alabama,NA,10.16751413084702,1.8589963920055463,31.254374623586507,NA,821.790195428387,749.7010959543902,942.5098713167229
2020-06-18,Alabama,NA,10.429217678615315,2.2549356583614237,31.710663859829303,NA,832.7495880919457,758.3936951272563,958.3014123417669
2020-06-19,Alabama,NA,10.69092122638361,1.7247606734179635,31.57133819831717,NA,845.3666235696287,766.0225884372705,973.5899639200554
2020-06-20,Alabama,NA,11.019742633445697,2.120699939773841,33.09955383258816,NA,857.3192483437806,776.3057125649668,994.9384718570857
2020-06-21,Alabama,NA,11.415681899801573,2.120699939773841,32.155095263740684,NA,869.3322230878196,784.7820258388456,1010.7717932337559
2020-06-22,Alabama,NA,11.74450330686366,2.6508749247173014,32.408352975619785,NA,882.6672513495134,792.1308712835435,1031.3113056655834
2020-06-23,Alabama,NA,12.140442573219538,2.6508749247173014,37.44163138787923,NA,895.539222485558,802.5397852939382,1051.4934724869515
2020-06-24,Alabama,NA,13.133674683812664,3.1810499096607616,37.17315995070406,NA,910.2634221242008,813.0257156452856,1076.9238631807518
2020-06-25,Alabama,NA,14.059788935112003,3.1810499096607616,36.716589310271104,NA,923.960830722604,825.0939504162868,1096.1950733726392
2020-06-26,Alabama,NA,13.92555321652442,3.1810499096607616,38.56881781286978,NA,940.6714945824332,836.4289786779808,1121.3135922082388
2020-06-27,Alabama,NA,14.98590318641134,3.711224894604222,40.93796692578833,NA,957.8116566382654,848.8111025349381,1141.9116644565156
2020-06-28,Alabama,NA,15.44896031206101,4.241399879547682,43.6153505997528,NA,974.3209669202133,863.4763487459866,1166.7104143805363
2020-06-29,Alabama,NA,16.375074563360347,4.241399879547682,44.991267602078224,NA,994.0448860414688,876.280920618547,1192.119824617175
2020-03-12,Alaska,0,0,0,0,0,0,0,0
2020-03-13,Alaska,0,0,0,0,0,0,0,0
2020-03-14,Alaska,0,0,0,0,0,0,0,0
2020-03-15,Alaska,0,0,0,0,0,0,0,0
2020-03-16,Alaska,0,0,0,0,0,0,0,0
2020-03-17,Alaska,0,0,0,0,0,0,0,0
2020-03-18,Alaska,0,0,0,0,0,0,0,0
2020-03-19,Alaska,0,0,0,0,0,0,0,0
2020-03-20,Alaska,0,0,0,0,0,0,0,0
2020-03-21,Alaska,0,0,0,0,0,0,0,0
2020-03-22,Alaska,0,0,0,0,0,0,0,0
2020-03-23,Alaska,0,0,0,0,0,0,0,0
2020-03-24,Alaska,0,0,0,0,0,0,0,0
2020-03-25,Alaska,0,0,0,0,0,0,0,0
2020-03-26,Alaska,0,0,0,0,0,0,0,0
2020-03-27,Alaska,1,1,1,1,1,1,1,1
2020-03-28,Alaska,0,0,0,0,1,1,1,1
2020-03-29,Alaska,0,0,0,0,1,1,1,1
2020-03-30,Alaska,1,1,1,1,2,2,2,2
2020-03-31,Alaska,0,0,0,0,2,2,2,2
2020-04-01,Alaska,0,0,0,0,2,2,2,2
2020-04-02,Alaska,0,0,0,0,2,2,2,2
2020-04-03,Alaska,0,0,0,0,2,2,2,2
2020-04-04,Alaska,1,1,1,1,3,3,3,3
2020-04-05,Alaska,1,1,1,1,4,4,4,4
2020-04-06,Alaska,0,0,0,0,4,4,4,4
2020-04-07,Alaska,0,0,0,0,4,4,4,4
2020-04-08,Alaska,1,1,1,1,5,5,5,5
2020-04-09,Alaska,0,0,0,0,5,5,5,5
2020-04-10,Alaska,0,0,0,0,5,5,5,5
2020-04-11,Alaska,1,1,1,1,6,6,6,6
2020-04-12,Alaska,0,0,0,0,6,6,6,6
2020-04-13,Alaska,0,0,0,0,6,6,6,6
2020-04-14,Alaska,1,1,1,1,7,7,7,7
2020-04-15,Alaska,0,0,0,0,7,7,7,7
2020-04-16,Alaska,0,0,0,0,7,7,7,7
2020-04-17,Alaska,0,0,0,0,7,7,7,7
2020-04-18,Alaska,0,0,0,0,7,7,7,7
2020-04-19,Alaska,0,0,0,0,7,7,7,7
2020-04-20,Alaska,0,0,0,0,7,7,7,7
2020-04-21,Alaska,0,0,0,0,7,7,7,7
2020-04-22,Alaska,0,0,0,0,7,7,7,7
2020-04-23,Alaska,0,0,0,0,7,7,7,7
2020-04-24,Alaska,0,0,0,0,7,7,7,7
2020-04-25,Alaska,0,0,0,0,7,7,7,7
2020-04-26,Alaska,0,0,0,0,7,7,7,7
2020-04-27,Alaska,0,0,0,0,7,7,7,7
2020-04-28,Alaska,0,0,0,0,7,7,7,7
2020-04-29,Alaska,0,0,0,0,7,7,7,7
2020-04-30,Alaska,0,0,0,0,7,7,7,7
2020-05-01,Alaska,0,0,0,0,7,7,7,7
2020-05-02,Alaska,0,0,0,0,7,7,7,7
2020-05-03,Alaska,0,0,0,0,7,7,7,7
2020-05-04,Alaska,0,0,0,0,7,7,7,7
2020-05-05,Alaska,0,0,0,0,7,7,7,7
2020-05-06,Alaska,1,1,1,1,8,8,8,8
2020-05-07,Alaska,0,0,0,0,8,8,8,8
2020-05-08,Alaska,0,0,0,0,8,8,8,8
2020-05-09,Alaska,0,0,0,0,8,8,8,8
2020-05-10,Alaska,0,0,0,0,8,8,8,8
2020-05-11,Alaska,0,0,0,0,8,8,8,8
2020-05-12,Alaska,0,0,0,0,8,8,8,8
2020-05-13,Alaska,0,0,0,0,8,8,8,8
2020-05-14,Alaska,0,0,0,0,8,8,8,8
2020-05-15,Alaska,0,0,0,0,8,8,8,8
2020-05-16,Alaska,0,0,0,0,8,8,8,8
2020-05-17,Alaska,0,0,0,0,8,8,8,8
2020-05-18,Alaska,0,0,0,0,8,8,8,8
2020-05-19,Alaska,0,0,0,0,8,8,8,8
2020-05-20,Alaska,0,0,0,0,8,8,8,8
2020-05-21,Alaska,0,0,0,0,8,8,8,8
2020-05-22,Alaska,0,0,0,0,8,8,8,8
2020-05-23,Alaska,0,0,0,0,8,8,8,8
2020-05-24,Alaska,0,0,0,0,8,8,8,8
2020-05-25,Alaska,0,0,0,0,8,8,8,8
2020-05-26,Alaska,0,0,0,0,8,8,8,8
2020-05-27,Alaska,0,0,0,0,8,8,8,8
2020-05-28,Alaska,0,0,0,0,8,8,8,8
2020-05-29,Alaska,0,0,0,0,8,8,8,8
2020-05-30,Alaska,0,0,0,0,8,8,8,8
2020-05-31,Alaska,0,0,0,0,8,8,8,8
2020-06-02,Alaska,NA,0,0,0.35714285714285715,NA,9,9,9.857142857142858
2020-06-03,Alaska,NA,0,0,0.35714285714285715,NA,9,9,10.142857142857142
2020-06-04,Alaska,NA,0,0,0.35714285714285715,NA,9,9,10.714285714285715
2020-06-05,Alaska,NA,0,0,0.35714285714285715,NA,9,9,10.714285714285715
2020-06-06,Alaska,NA,0,0,0.35714285714285715,NA,9,9,10.857142857142858
2020-06-07,Alaska,NA,0,0,0.35714285714285715,NA,9,9,11.071428571428571
2020-06-08,Alaska,NA,0,0,0.35714285714285715,NA,9.142857142857142,9,11.071428571428571
2020-06-09,Alaska,NA,0,0,0.35714285714285715,NA,9.142857142857142,9,11.214285714285715
2020-06-10,Alaska,NA,0,0,0.35714285714285715,NA,9.142857142857142,9,11.357142857142858
2020-06-11,Alaska,NA,0,0,0.35714285714285715,NA,9.285714285714285,9,11.428571428571429
2020-06-12,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,11.571428571428571
2020-06-13,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,11.785714285714285
2020-06-14,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,12.428571428571429
2020-06-15,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,12.501785714285688
2020-06-16,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,12.642857142857142
2020-06-17,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,12.785714285714285
2020-06-18,Alaska,NA,0,0,0.35714285714285715,NA,9.357142857142858,9,12.928571428571429
2020-06-19,Alaska,NA,0,0,0.35714285714285715,NA,9.5,9,13.071428571428571
2020-06-20,Alaska,NA,0,0,0.35714285714285715,NA,9.5,9,13.214285714285715
2020-06-21,Alaska,NA,0,0,0.35714285714285715,NA,9.5,9,13.357142857142858
2020-06-22,Alaska,NA,0,0,0.35714285714285715,NA,9.5,9,13.501785714285688
2020-06-23,Alaska,NA,0,0,0.35714285714285715,NA,9.642857142857142,9,13.785714285714286
2020-06-24,Alaska,NA,0,0,0.35892857142854545,NA,9.642857142857142,9,14.0125
2020-06-25,Alaska,NA,0,0,0.5,NA,9.714285714285715,9,14.298214285714288
2020-06-26,Alaska,NA,0,0,0.43035714285711685,NA,9.714285714285715,9,14.5125
2020-06-27,Alaska,NA,0,0,0.5,NA,9.714285714285715,9,14.726785714285715
2020-06-28,Alaska,NA,0,0,0.5,NA,9.714285714285715,9,15.0125
2020-06-29,Alaska,NA,0,0,0.5,NA,9.785714285714285,9,15.298214285714288
2020-01-26,Arizona,0,0,0,0,0,0,0,0
2020-01-27,Arizona,0,0,0,0,0,0,0,0
2020-01-28,Arizona,0,0,0,0,0,0,0,0
2020-01-29,Arizona,0,0,0,0,0,0,0,0
2020-01-30,Arizona,0,0,0,0,0,0,0,0
2020-01-31,Arizona,0,0,0,0,0,0,0,0
2020-02-01,Arizona,0,0,0,0,0,0,0,0
2020-02-02,Arizona,0,0,0,0,0,0,0,0
2020-02-03,Arizona,0,0,0,0,0,0,0,0
2020-02-04,Arizona,0,0,0,0,0,0,0,0
2020-02-05,Arizona,0,0,0,0,0,0,0,0
2020-02-06,Arizona,0,0,0,0,0,0,0,0
2020-02-07,Arizona,0,0,0,0,0,0,0,0
2020-02-08,Arizona,0,0,0,0,0,0,0,0
2020-02-09,Arizona,0,0,0,0,0,0,0,0
2020-02-10,Arizona,0,0,0,0,0,0,0,0
2020-02-11,Arizona,0,0,0,0,0,0,0,0
2020-02-12,Arizona,0,0,0,0,0,0,0,0
2020-02-13,Arizona,0,0,0,0,0,0,0,0
2020-02-14,Arizona,0,0,0,0,0,0,0,0
2020-02-15,Arizona,0,0,0,0,0,0,0,0
2020-02-16,Arizona,0,0,0,0,0,0,0,0
2020-02-17,Arizona,0,0,0,0,0,0,0,0
2020-02-18,Arizona,0,0,0,0,0,0,0,0
2020-02-19,Arizona,0,0,0,0,0,0,0,0
2020-02-20,Arizona,0,0,0,0,0,0,0,0
2020-02-21,Arizona,0,0,0,0,0,0,0,0
2020-02-22,Arizona,0,0,0,0,0,0,0,0
2020-02-23,Arizona,0,0,0,0,0,0,0,0
2020-02-24,Arizona,0,0,0,0,0,0,0,0
2020-02-25,Arizona,0,0,0,0,0,0,0,0
2020-02-26,Arizona,0,0,0,0,0,0,0,0
2020-02-27,Arizona,0,0,0,0,0,0,0,0
2020-02-28,Arizona,0,0,0,0,0,0,0,0
2020-02-29,Arizona,0,0,0,0,0,0,0,0
2020-03-01,Arizona,0,0,0,0,0,0,0,0
2020-03-02,Arizona,0,0,0,0,0,0,0,0
2020-03-03,Arizona,0,0,0,0,0,0,0,0
2020-03-04,Arizona,0,0,0,0,0,0,0,0
2020-03-05,Arizona,0,0,0,0,0,0,0,0
2020-03-06,Arizona,0,0,0,0,0,0,0,0
2020-03-07,Arizona,0,0,0,0,0,0,0,0
2020-03-08,Arizona,0,0,0,0,0,0,0,0
2020-03-09,Arizona,0,0,0,0,0,0,0,0
2020-03-10,Arizona,0,0,0,0,0,0,0,0
2020-03-11,Arizona,0,0,0,0,0,0,0,0
2020-03-12,Arizona,0,0,0,0,0,0,0,0
2020-03-13,Arizona,0,0,0,0,0,0,0,0
2020-03-14,Arizona,0,0,0,0,0,0,0,0
2020-03-15,Arizona,0,0,0,0,0,0,0,0
2020-03-16,Arizona,0,0,0,0,0,0,0,0
2020-03-17,Arizona,0,0,0,0,0,0,0,0
2020-03-18,Arizona,0,0,0,0,0,0,0,0
2020-03-19,Arizona,0,0,0,0,0,0,0,0
2020-03-20,Arizona,1,1,1,1,1,1,1,1
2020-03-21,Arizona,0,0,0,0,1,1,1,1
2020-03-22,Arizona,1,1,1,1,2,2,2,2
2020-03-23,Arizona,0,0,0,0,2,2,2,2
2020-03-24,Arizona,4,4,4,4,6,6,6,6
2020-03-25,Arizona,0,0,0,0,6,6,6,6
2020-03-26,Arizona,2,2,2,2,8,8,8,8
2020-03-27,Arizona,7,7,7,7,15,15,15,15
2020-03-28,Arizona,0,0,0,0,15,15,15,15
2020-03-29,Arizona,3,3,3,3,18,18,18,18
2020-03-30,Arizona,2,2,2,2,20,20,20,20
2020-03-31,Arizona,4,4,4,4,24,24,24,24
2020-04-01,Arizona,5,5,5,5,29,29,29,29
2020-04-02,Arizona,6,6,6,6,35,35,35,35
2020-04-03,Arizona,6,6,6,6,41,41,41,41
2020-04-04,Arizona,12,12,12,12,53,53,53,53
2020-04-05,Arizona,11,11,11,11,64,64,64,64
2020-04-06,Arizona,3,3,3,3,67,67,67,67
2020-04-07,Arizona,10,10,10,10,77,77,77,77
2020-04-08,Arizona,3,3,3,3,80,80,80,80
2020-04-09,Arizona,9,9,9,9,89,89,89,89
2020-04-10,Arizona,8,8,8,8,97,97,97,97
2020-04-11,Arizona,15,15,15,15,112,112,112,112
2020-04-12,Arizona,5,5,5,5,117,117,117,117
2020-04-13,Arizona,5,5,5,5,122,122,122,122
2020-04-14,Arizona,9,9,9,9,131,131,131,131
2020-04-15,Arizona,11,11,11,11,142,142,142,142
2020-04-16,Arizona,10,10,10,10,152,152,152,152
2020-04-17,Arizona,22,22,22,22,174,174,174,174
2020-04-18,Arizona,7,7,7,7,181,181,181,181
2020-04-19,Arizona,7,7,7,7,188,188,188,188
2020-04-20,Arizona,3,3,3,3,191,191,191,191
2020-04-21,Arizona,22,22,22,22,213,213,213,213
2020-04-22,Arizona,23,23,23,23,236,236,236,236
2020-04-23,Arizona,21,21,21,21,257,257,257,257
2020-04-24,Arizona,11,11,11,11,268,268,268,268
2020-04-25,Arizona,7,7,7,7,275,275,275,275
2020-04-26,Arizona,2,2,2,2,277,277,277,277
2020-04-27,Arizona,0,0,0,0,277,277,277,277
2020-04-28,Arizona,20,20,20,20,297,297,297,297
2020-04-29,Arizona,11,11,11,11,308,308,308,308
2020-04-30,Arizona,12,12,12,12,320,320,320,320
2020-05-01,Arizona,10,10,10,10,330,330,330,330
2020-05-02,Arizona,23,23,23,23,353,353,353,353
2020-05-03,Arizona,9,9,9,9,362,362,362,362
2020-05-04,Arizona,0,0,0,0,362,362,362,362
2020-05-05,Arizona,33,33,33,33,395,395,395,395
2020-05-06,Arizona,31,31,31,31,426,426,426,426
2020-05-07,Arizona,24,24,24,24,450,450,450,450
2020-05-08,Arizona,67,67,67,67,517,517,517,517
2020-05-09,Arizona,15,15,15,15,532,532,532,532
2020-05-10,Arizona,4,4,4,4,536,536,536,536
2020-05-11,Arizona,6,6,6,6,542,542,542,542
2020-05-12,Arizona,20,20,20,20,562,562,562,562
2020-05-13,Arizona,32,32,32,32,594,594,594,594
2020-05-14,Arizona,30,30,30,30,624,624,624,624
2020-05-15,Arizona,27,27,27,27,651,651,651,651
2020-05-16,Arizona,28,28,28,28,679,679,679,679
2020-05-17,Arizona,1,1,1,1,680,680,680,680
2020-05-18,Arizona,6,6,6,6,686,686,686,686
2020-05-19,Arizona,18,18,18,18,704,704,704,704
2020-05-20,Arizona,43,43,43,43,747,747,747,747
2020-05-21,Arizona,16,16,16,16,763,763,763,763
2020-05-22,Arizona,12,12,12,12,775,775,775,775
2020-05-23,Arizona,24,24,24,24,799,799,799,799
2020-05-24,Arizona,1,1,1,1,800,800,800,800
2020-05-25,Arizona,6,6,6,6,806,806,806,806
2020-05-26,Arizona,1,1,1,1,807,807,807,807
2020-05-27,Arizona,24,24,24,24,831,831,831,831
2020-05-28,Arizona,26,26,26,26,857,857,857,857
2020-05-29,Arizona,28,28,28,28,885,885,885,885
2020-05-30,Arizona,18,18,18,18,903,903,903,903
2020-05-31,Arizona,3,3,3,3,906,906,906,906
2020-06-02,Arizona,NA,13.076633706967932,2.3831257597709516,38.919917967733255,NA,934.9996865158819,914.4613268873293,971.995611222347
2020-06-03,Arizona,NA,13.076633706967932,2.308102248462097,38.612442687507304,NA,949.5376898852478,920.2333494462027,997.0052645591984
2020-06-04,Arizona,NA,12.538316853483966,2.2311550573760908,40.91929099949711,NA,963.9217988724417,925.9899904039618,1021.2364623916433
2020-06-05,Arizona,NA,12.691897751537905,2.0772606752040796,39.537105692080345,NA,978.9978056111735,931.6850657717491,1046.7600673873178
2020-06-06,Arizona,NA,12.153580898053939,2.0772606752040796,39.93113872517513,NA,992.8432842607654,937.3128045102333,1070.0124100231053
2020-06-07,Arizona,NA,12.422582582736885,2.0772606752040796,37.30657760294041,NA,1008.5343983020081,943.1579269006382,1093.011156086633
2020-06-08,Arizona,NA,12.84547864959184,2.000313484118074,39.78846510044499,NA,1022.8410898719387,949.1467061431964,1118.605631587047
2020-06-09,Arizona,NA,12.230214605021871,1.9233662930320683,38.84297077664725,NA,1035.7636724546755,955.0373933913257,1145.5341768891403
2020-06-10,Arizona,NA,11.999373031763852,1.7694719108600567,40.00745894802499,NA,1050.3008921137464,960.4531981959994,1167.7140466616322
2020-06-11,Arizona,NA,11.691584267419831,1.7694719108600567,41.160726361960855,NA,1064.9149022218442,965.7420793208959,1194.088274377994
2020-06-12,Arizona,NA,11.537689885247818,1.231155057376091,39.149819088637045,NA,1077.375644916006,969.2274579187681,1216.8599713680971
2020-06-13,Arizona,NA,11.306848311989802,1.5386303376020398,40.237673553046854,NA,1090.9127078330175,974.5333230033349,1238.8254584411038
2020-06-14,Arizona,NA,11.460429210043738,1.4597594667388836,40.16202307350183,NA,1104.6033516480832,978.083801066615,1264.9114320008052
2020-06-15,Arizona,NA,11.690957299183681,1.3077887643440227,38.302773018454836,NA,1118.9860499567458,982.8529594933568,1292.1003281419123
2020-06-16,Arizona,NA,10.921798872441698,1.2308415732580171,37.91772357890673,NA,1131.9841690520375,985.9206096067783,1311.8348795964253
2020-06-17,Arizona,NA,11.152326961581641,1.6152640445699715,37.62146905612266,NA,1143.905497698302,990.7740886224938,1332.7198307431895
2020-06-18,Arizona,NA,10.306221343753652,1.1538943821720113,36.8519971452626,NA,1156.6726184782765,996.2464204179362,1358.8635731454797
2020-06-19,Arizona,NA,10.536749432893597,1,39.37944950049145,NA,1169.6704240894499,1000.150197243564,1385.2063558316563
2020-06-20,Arizona,NA,9.844538197237618,1.3074752802259488,37.377839304832406,NA,1183.3598139680432,1004.3765644890316,1409.752813461122
2020-06-21,Arizona,NA,10.075066286377563,1.230528089139943,35.929927563771514,NA,1195.9725701396687,1008.7257572674275,1430.0173600817743
2020-06-22,Arizona,NA,9.844224713119544,0.7691584267419829,33.54389489680051,NA,1207.354798222154,1011.3753654122797,1452.3851897905683
2020-06-23,Arizona,NA,9.613383139861527,0.7691584267419829,35.30057862962832,NA,1218.3909206868116,1015.4516856351297,1476.2181816615941
2020-06-24,Arizona,NA,9.920858420087477,0.6152640445699715,35.927376915758245,NA,1231.1954178679157,1017.1226972077222,1500.7524780812637
2020-06-25,Arizona,NA,10.15138650922742,0.6152640445699715,35.92674994752209,NA,1242.6156493197668,1021.2833928792664,1523.9616255959772
2020-06-26,Arizona,NA,9.997492127055407,0.9227393247959204,35.29995166139217,NA,1254.6509880741291,1021.8547022617711,1548.8357158340398
2020-06-27,Arizona,NA,9.843597744883397,0.9227393247959204,35.07072028379321,NA,1267.5319622201423,1022.9912443404342,1573.2369413536594
2020-06-28,Arizona,NA,9.30528089139943,0.9112050832359714,37.529539298177895,NA,1278.7598256942788,1027.0034483252987,1588.1513547435616
2020-06-29,Arizona,NA,9.61275617162538,0.9227393247959204,36.22206401795194,NA,1289.3339515283021,1029.4529702620189,1619.5359953377658
2020-03-11,Arkansas,0,0,0,0,0,0,0,0
2020-03-12,Arkansas,0,0,0,0,0,0,0,0
2020-03-13,Arkansas,0,0,0,0,0,0,0,0
2020-03-14,Arkansas,0,0,0,0,0,0,0,0
2020-03-15,Arkansas,0,0,0,0,0,0,0,0
2020-03-16,Arkansas,0,0,0,0,0,0,0,0
2020-03-17,Arkansas,0,0,0,0,0,0,0,0
2020-03-18,Arkansas,0,0,0,0,0,0,0,0
2020-03-19,Arkansas,0,0,0,0,0,0,0,0
2020-03-20,Arkansas,0,0,0,0,0,0,0,0
2020-03-21,Arkansas,0,0,0,0,0,0,0,0
2020-03-22,Arkansas,0,0,0,0,0,0,0,0
2020-03-23,Arkansas,0,0,0,0,0,0,0,0
2020-03-24,Arkansas,2,2,2,2,2,2,2,2
2020-03-25,Arkansas,0,0,0,0,2,2,2,2
2020-03-26,Arkansas,1,1,1,1,3,3,3,3
2020-03-27,Arkansas,0,0,0,0,3,3,3,3
2020-03-28,Arkansas,2,2,2,2,5,5,5,5
2020-03-29,Arkansas,1,1,1,1,6,6,6,6
2020-03-30,Arkansas,1,1,1,1,7,7,7,7
2020-03-31,Arkansas,1,1,1,1,8,8,8,8
2020-04-01,Arkansas,2,2,2,2,10,10,10,10
2020-04-02,Arkansas,2,2,2,2,12,12,12,12
2020-04-03,Arkansas,0,0,0,0,12,12,12,12
2020-04-04,Arkansas,2,2,2,2,14,14,14,14
2020-04-05,Arkansas,2,2,2,2,16,16,16,16
