state,date,daily_deaths_est,daily_deaths_95CI_lower,daily_deaths_95CI_upper,cumulative_deaths_actual,cumulative_deaths_est,cumulative_deaths_95CI_lower,cumulative_deaths_95CI_upper,daily_deaths_av7,daily_deaths_actual
Alabama,2020-09-21,8,0,50,NA,2446,2438,2488,NA,NA
Alabama,2020-09-22,9,0,53,NA,2459,2441,2519,NA,NA
Alabama,2020-09-23,8,0,51,NA,2471,2445,2551,NA,NA
Alabama,2020-09-24,9,0,50,NA,2482,2449,2570,NA,NA
Alabama,2020-09-25,8,0,50,NA,2494,2455,2591,NA,NA
Alabama,2020-09-26,8,0,55,NA,2505,2460,2633,NA,NA
Alabama,2020-09-27,9,0,50,NA,2517,2466,2650,NA,NA
Alabama,2020-09-28,9,0,47,NA,2530,2471,2683,NA,NA
Alabama,2020-09-29,8,0,54,NA,2544,2477,2704,NA,NA
Alabama,2020-09-30,9,0,52,NA,2556,2485,2732,NA,NA
Alabama,2020-10-01,10,0,53,NA,2571,2492,2760,NA,NA
Alabama,2020-10-02,9,0,52,NA,2582,2499,2782,NA,NA
Alabama,2020-10-03,9,0,50,NA,2596,2507,2804,NA,NA
Alabama,2020-10-04,10,0,51,NA,2608,2516,2820,NA,NA
Alabama,2020-10-05,10,0,62,NA,2622,2525,2854,NA,NA
Alabama,2020-10-06,10,0,60,NA,2636,2533,2880,NA,NA
Alabama,2020-10-07,10,0,56,NA,2651,2544,2911,NA,NA
Alabama,2020-10-08,11,0,65,NA,2664,2552,2940,NA,NA
Alabama,2020-10-09,11,0,76,NA,2682,2558,2978,NA,NA
Alabama,2020-10-10,12,0,92,NA,2704,2565,3008,NA,NA
Alabama,2020-10-11,11,0,72,NA,2719,2577,3046,NA,NA
Alabama,2020-10-12,11,0,75,NA,2738,2584,3094,NA,NA
Alabama,2020-10-13,12,0,97,NA,2754,2597,3136,NA,NA
Alabama,2020-10-14,13,0,98,NA,2775,2604,3174,NA,NA
Alabama,2020-10-15,13,0,124,NA,2793,2611,3257,NA,NA
Alabama,2020-10-16,14,0,135,NA,2814,2620,3357,NA,NA
Alabama,2020-10-17,14,0,171,NA,2834,2632,3454,NA,NA
Alabama,2020-10-18,13,0,153,NA,2852,2646,3551,NA,NA
Alabama,2020-10-19,15,1,194,NA,2874,2658,3696,NA,NA
Alaska,2020-09-21,1,0,7,NA,46,45,52,NA,NA
Alaska,2020-09-22,1,0,6,NA,47,45,54,NA,NA
Alaska,2020-09-23,1,0,7,NA,48,45,58,NA,NA
Alaska,2020-09-24,1,0,7,NA,50,45,61,NA,NA
Alaska,2020-09-25,1,0,8,NA,51,45,65,NA,NA
Alaska,2020-09-26,1,0,9,NA,53,46,68,NA,NA
Alaska,2020-09-27,1,0,8,NA,55,47,72,NA,NA
Alaska,2020-09-28,1,0,10,NA,57,48,76,NA,NA
Alaska,2020-09-29,2,0,10,NA,59,49,79,NA,NA
Alaska,2020-09-30,2,0,12,NA,62,50,84,NA,NA
Alaska,2020-10-01,3,0,14,NA,66,52,92,NA,NA
Alaska,2020-10-02,3,0,15,NA,69,54,98,NA,NA
Alaska,2020-10-03,3,0,15,NA,74,55,105,NA,NA
Alaska,2020-10-04,3,0,17,NA,78,58,114,NA,NA
Alaska,2020-10-05,4,0,20,NA,84,61,125,NA,NA
Alaska,2020-10-06,5,0,23,NA,90,65,134,NA,NA
Alaska,2020-10-07,6,0,26,NA,97,67,149,NA,NA
Alaska,2020-10-08,6,0,29,NA,104,72,172,NA,NA
Alaska,2020-10-09,7,0,36,NA,113,75,199,NA,NA
Alaska,2020-10-10,8,0,38,NA,122,81,223,NA,NA
Alaska,2020-10-11,9,0,42,NA,132,84,244,NA,NA
Alaska,2020-10-12,11,1,46,NA,144,91,285,NA,NA
Alaska,2020-10-13,12,1,55,NA,158,98,319,NA,NA
Alaska,2020-10-14,13,1,66,NA,174,102,366,NA,NA
Alaska,2020-10-15,15,1,70,NA,192,110,415,NA,NA
Alaska,2020-10-16,17,1,78,NA,211,115,484,NA,NA
Alaska,2020-10-17,18,2,80,NA,234,122,527,NA,NA
Alaska,2020-10-18,21,2,90,NA,259,134,618,NA,NA
Alaska,2020-10-19,23,2,105,NA,287,146,681,NA,NA
Arizona,2020-09-21,18,2,71,NA,5502,5486,5555,NA,NA
Arizona,2020-09-22,19,3,66,NA,5526,5495,5595,NA,NA
Arizona,2020-09-23,19,2,77,NA,5548,5506,5638,NA,NA
Arizona,2020-09-24,19,2,74,NA,5571,5518,5675,NA,NA
Arizona,2020-09-25,20,2,78,NA,5594,5530,5720,NA,NA
Arizona,2020-09-26,19,2,73,NA,5617,5539,5756,NA,NA
Arizona,2020-09-27,19,2,81,NA,5640,5550,5814,NA,NA
Arizona,2020-09-28,20,2,84,NA,5666,5566,5856,NA,NA
Arizona,2020-09-29,20,2,83,NA,5688,5574,5897,NA,NA
Arizona,2020-09-30,20,2,75,NA,5711,5588,5943,NA,NA
Arizona,2020-10-01,20,2,81,NA,5735,5604,5982,NA,NA
Arizona,2020-10-02,21,3,87,NA,5762,5616,6042,NA,NA
Arizona,2020-10-03,20,1,80,NA,5788,5624,6084,NA,NA
Arizona,2020-10-04,21,2,86,NA,5812,5636,6129,NA,NA
Arizona,2020-10-05,21,2,94,NA,5839,5646,6177,NA,NA
Arizona,2020-10-06,19,2,82,NA,5864,5657,6231,NA,NA
Arizona,2020-10-07,21,2,97,NA,5892,5667,6296,NA,NA
Arizona,2020-10-08,21,2,95,NA,5918,5678,6357,NA,NA
Arizona,2020-10-09,20,2,108,NA,5946,5687,6416,NA,NA
Arizona,2020-10-10,22,2,99,NA,5972,5699,6492,NA,NA
Arizona,2020-10-11,21,2,97,NA,5998,5707,6548,NA,NA
Arizona,2020-10-12,21,2,106,NA,6024,5715,6614,NA,NA
Arizona,2020-10-13,21,2,107,NA,6051,5720,6665,NA,NA
Arizona,2020-10-14,21,2,114,NA,6081,5729,6725,NA,NA
Arizona,2020-10-15,21,2,128,NA,6110,5745,6794,NA,NA
Arizona,2020-10-16,22,2,121,NA,6133,5752,6860,NA,NA
Arizona,2020-10-17,22,2,111,NA,6162,5761,6980,NA,NA
Arizona,2020-10-18,21,2,115,NA,6188,5763,7044,NA,NA
Arizona,2020-10-19,23,2,123,NA,6215,5782,7129,NA,NA
Arkansas,2020-09-21,16,3,42,NA,1198,1185,1224,NA,NA
Arkansas,2020-09-22,16,3,43,NA,1216,1193,1251,NA,NA
Arkansas,2020-09-23,17,4,43,NA,1234,1205,1277,NA,NA
Arkansas,2020-09-24,19,5,46,NA,1256,1217,1308,NA,NA
Arkansas,2020-09-25,21,5,47,NA,1278,1232,1336,NA,NA
Arkansas,2020-09-26,23,5,47,NA,1302,1247,1363,NA,NA
Arkansas,2020-09-27,23,5,48,NA,1325,1267,1393,NA,NA
Arkansas,2020-09-28,23,5,49,NA,1348,1283,1422,NA,NA
Arkansas,2020-09-29,21,5,49,NA,1372,1297,1449,NA,NA
Arkansas,2020-09-30,16,5,49,NA,1392,1316,1477,NA,NA
Arkansas,2020-10-01,11,5,49,NA,1411,1332,1502,NA,NA
Arkansas,2020-10-02,10,5,49,NA,1426,1348,1527,NA,NA
Arkansas,2020-10-03,10,5,47,NA,1442,1357,1540,NA,NA
Arkansas,2020-10-04,11,5,47,NA,1457,1369,1556,NA,NA
Arkansas,2020-10-05,12,5,47,NA,1473,1385,1575,NA,NA
Arkansas,2020-10-06,13,6,44,NA,1490,1397,1595,NA,NA
Arkansas,2020-10-07,15,6,44,NA,1506,1411,1617,NA,NA
Arkansas,2020-10-08,17,6,45,NA,1526,1426,1633,NA,NA
Arkansas,2020-10-09,18,7,49,NA,1545,1445,1657,NA,NA
Arkansas,2020-10-10,20,7,51,NA,1569,1467,1686,NA,NA
Arkansas,2020-10-11,22,7,54,NA,1592,1486,1710,NA,NA
Arkansas,2020-10-12,24,8,66,NA,1619,1503,1741,NA,NA
